"product","country","year","month","value"
"vegetables, fresh or frozen","Mexico","2018","november",538.658
"vegetables, fresh or frozen","Canada","2018","november",202.309
"vegetables, fresh or frozen","European Union-28 3/","2018","november",31.917
"vegetables, fresh or frozen","Peru","2018","november",48.534
"vegetables, fresh or frozen","China","2018","november",17.533
"vegetables, fresh or frozen","Guatemala","2018","november",21.727
"vegetables, fresh or frozen","Costa Rica","2018","november",9.835
"vegetables, fresh or frozen","Ecuador","2018","november",7.669
"vegetables, fresh or frozen","Honduras","2018","november",6.023
"vegetables, fresh or frozen","Dominican Republic","2018","november",4.549
"vegetables, fresh or frozen","World","2018","november",910.669
"vegetables, fresh or frozen","Mexico","2018","december",677.023
"vegetables, fresh or frozen","Canada","2018","december",159.827
"vegetables, fresh or frozen","European Union-28 3/","2018","december",37.018
"vegetables, fresh or frozen","Peru","2018","december",46.528
"vegetables, fresh or frozen","China","2018","december",20.354
"vegetables, fresh or frozen","Guatemala","2018","december",20.896
"vegetables, fresh or frozen","Costa Rica","2018","december",9.603
"vegetables, fresh or frozen","Ecuador","2018","december",7.239
"vegetables, fresh or frozen","Honduras","2018","december",6.497
"vegetables, fresh or frozen","Dominican Republic","2018","december",4.663
"vegetables, fresh or frozen","World","2018","december",1014.069
"vegetables, prepared or preserved","European Union-28 3/","2018","january",75.455
"vegetables, prepared or preserved","China","2018","january",46.753
"vegetables, prepared or preserved","Mexico","2018","january",35.284
"vegetables, prepared or preserved","Canada","2018","january",29.724
"vegetables, prepared or preserved","Peru","2018","january",24.215
"vegetables, prepared or preserved","Thailand","2018","january",12.725
"vegetables, prepared or preserved","India","2018","january",7.744
"vegetables, prepared or preserved","Turkey","2018","january",7.65
"vegetables, prepared or preserved","Chile","2018","january",2.761
"vegetables, prepared or preserved","Japan","2018","january",3.81
"vegetables, prepared or preserved","World","2018","january",280.458
"vegetables, prepared or preserved","European Union-28 3/","2018","february",78.311
"vegetables, prepared or preserved","China","2018","february",38.58
"vegetables, prepared or preserved","Mexico","2018","february",39.161
"vegetables, prepared or preserved","Canada","2018","february",26.703
"vegetables, prepared or preserved","Peru","2018","february",19.873
"vegetables, prepared or preserved","Thailand","2018","february",10.194
"vegetables, prepared or preserved","India","2018","february",6.764
"vegetables, prepared or preserved","Turkey","2018","february",4.894
"vegetables, prepared or preserved","Japan","2018","february",4.726
"vegetables, prepared or preserved","Chile","2018","february",2.979
"vegetables, prepared or preserved","World","2018","february",262.87
"vegetables, prepared or preserved","European Union-28 3/","2018","march",84.612
"vegetables, prepared or preserved","China","2018","march",38.449
"vegetables, prepared or preserved","Mexico","2018","march",41.737
"vegetables, prepared or preserved","Canada","2018","march",31.047
"vegetables, prepared or preserved","Peru","2018","march",22.673
"vegetables, prepared or preserved","Thailand","2018","march",12.301
"vegetables, prepared or preserved","India","2018","march",13.082
"vegetables, prepared or preserved","Turkey","2018","march",6.842
"vegetables, prepared or preserved","Japan","2018","march",4.755
"vegetables, prepared or preserved","Chile","2018","march",4.651
"vegetables, prepared or preserved","World","2018","march",291.323
